,screen_names,texts,dates,langs
81,AldiAbbo,No gane mi hamburguesa con papas 💔,2021-04-22 03:41:10,es
82,HughDiaz29,Mas ganas de comer una hamburguesa con cheddar y baicon que de existir...,2021-04-22 02:48:54,es
83,AilenLiendo,Como me clavaria una hamburguesa con papas fritas,2021-04-22 02:31:25,es
84,ciclohexanoBA,tengo 7 dolares lo toman o lo toman 😈😈 — No me compro ni una hamburguesa con eso https://t.co/2XOb2tJAxm,2021-04-22 02:22:14,es
85,AldiAbbo,"Estoy participando por una hamburguesa con papas, respondiendo preguntas de Harry Potter",2021-04-22 01:59:44,es
86,PerezH_OK,"-Te amo.

-¿Vos queres la hamburguesa con papas o aros de cebolla?",2021-04-22 01:09:15,es
87,santisimonetti_,una hamburguesa con papas cheddar bastará para sanarme,2021-04-22 00:24:12,es
88,elargen44470625,#GPCocina hamburguesa con zanahoria caramelizada,2021-04-21 22:36:46,es
89,Laaauraruiz,El viernes por fin me sacan los puntos y lo único que tengo en la cabeza es que voy a ir directo a comerme una hamb… https://t.co/NF1Gjc1Urh,2021-04-21 21:04:10,es
90,iaraluz_,"quiero comerme una hamburguesa con papas fritas 
bueno si https://t.co/y0P79X2EMh",2021-04-21 20:24:56,es
91,karibecerra__,Que ganas de una hamburguesa con papas de mostaza,2021-04-21 17:26:07,es
92,BrenEstt,Son las 9:40 pero quiero clavarme una hamburguesa con mucho cheddar como para arrancar el día,2021-04-21 12:42:00,es
93,Tatuventura_,ya se q son las 9 de la mañana pero que ganas de una hamburguesa con cheddar x dios,2021-04-21 11:59:37,es
94,SiilGarcia_,8:40 am y yo pensando en una hamburguesa con mucho cheddar y bacon 🤤🤤,2021-04-21 11:43:18,es
95,Sofiaaagauna,que ganas de una buena hamburguesa con papas y mucho cheddar 😣😣,2021-04-21 04:10:49,es
96,comentarista236,@Magnnets @BurgerKingUY Creo que es la nueva hamburguesa con kale,2021-04-21 01:59:42,es
97,Ohhanina,"Qué ganas de ir a tomarme una birra, salir a caminar, conversar, sentarme el un parque, comerme una hamburguesa con… https://t.co/lFIORSMhG8",2021-04-21 00:15:04,es
98,sofietchee,Comer una hamburguesa con agua es DEPRIMENTE,2021-04-20 23:58:04,es
99,morochasinnada,Cuando viene la hamburguesa con UN sobrecito de mayonesa. https://t.co/x5dXEtBoq5,2021-04-20 22:36:08,es
100,kevelin_piris,Ah la loca quiere bajar la panza pero pleno medio día se encargó una hamburguesa con papas fritas y cheddar🤷,2021-04-20 17:20:47,es
101,KarenSarratea,Muero por una hamburguesa con papas del Mc🥺,2021-04-20 16:37:41,es
102,FranPrince_,"casi 1300 pé el combo de hamburguesa con papas y coca donde me gusta. Dejá, me hago unos fideos.",2021-04-20 16:06:19,es
103,Serbarthol,"@acidolirico1 Pensé lo mismo!! (encima Hamburguesa con Medialunas!! Jajaj) 
Igual no sería tan Raro porque en el Se… https://t.co/j44frd9QtE",2021-04-20 16:03:53,es
104,Frannkushh,"dejen de ponerle cheddar y bacon a todo, ya da asco. recién vi una hamburguesa con cheddar y bacon y por afuera bañ… https://t.co/uZSIXGf8vt",2021-04-20 15:20:57,es
105,r0rig,@mariumasdeu *la interrumpen 2 anuncios de 15 segundos cada uno mostrando una hamburguesa con cheddar* *le da hambre y no se duerme*,2021-04-20 03:54:22,es
