screen_names,texts,dates,langs
paulino_iliana,quiero hamburguesa tan grande tape cara,2021-04-27 23:37:25,es
ithzyassqiuv,ajajajajajaj hamburguesa milanesa perdon ajajajajajaja,2021-04-27 23:37:15,es
luciia0799,dije maxi esperaba cenar tardo contestar comi sanguche hamburguesa jajajajajs,2021-04-27 23:36:46,es
IttokiyaKurusu,estais poniendo juego puesto trabajo persona puñetera hamburguesa solo quereis u,2021-04-27 23:36:45,es
excessvs,hamburguesa iba tener quitarle pepinillo literalmente gustaba pepinillo qu,2021-04-27 23:36:38,es
abrilmoooo,tambien queria hamburguesa hoy sesion psico neceista mas,2021-04-27 23:36:31,es
milpesosmx,usa marcar comes mostaza pepinillo cilantro pizza,2021-04-27 23:36:29,es
MariannMonfort,vino chabon comprar heladeria dice hamburguesa completa respondi equivocado aca,2021-04-27 23:36:12,es
Speeds_Dank,hola buenas da hamburguesa bts,2021-04-27 23:36:00,es
soy_Odiseo,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:35:53,es
uni_galactica,shinwon hizo antojar hamburguesa ahora saco hamburguesa,2021-04-27 23:35:25,es
barbaradeisla,necesito hamburguesa,2021-04-27 23:35:15,es
i6seung,justo comi hamburguesa hoy muajaja,2021-04-27 23:35:11,es
grlm1994,vt vamos invito comer hamburguesa luego comemos okno,2021-04-27 23:35:08,es
_yibopout,hamburguesa dios insoportables,2021-04-27 23:35:06,es
flejecabra,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñon,2021-04-27 23:35:04,es
RojasSofia,combate eterno piedra papel tijera elegir pedir termine dije lara preferis hamburguesa,2021-04-27 23:34:59,es
MacaAzul7,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:34:55,es
houseofpiper,mcdonald dando muchisima hambre horas quiero hamburguesa euro,2021-04-27 23:34:53,es
rokha_,maldini tampoco hamburguesa palta ahora entiendo,2021-04-27 23:34:44,es
Supmiguel,comete hamburguesa camino gym,2021-04-27 23:34:38,es
pooberry__s,pizza hamburguesa,2021-04-27 23:34:02,es
msol_dp,ganas hamburguesa papas,2021-04-27 23:33:48,es
ferpmiranda,solo trago churros vez mes significa fit asi comer ensalada vez,2021-04-27 23:33:47,es
edextenjoyer,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:33:43,es
95svibez,q pesaitos mcdonalds macho verdad vais poner asi hamburguesa cm q contesta mal comentario,2021-04-27 23:33:27,es
Valentinappp1,quiero hamburguesa d mostaza,2021-04-27 23:33:09,es
Guanch3_,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:33:08,es
AryamGLozano,quiero hamburguesa lentejaaaas jajaja,2021-04-27 23:32:41,es
Marxvelita,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiño,2021-04-27 23:32:33,es
MxBrief,jj burgers rinde culto hamburguesa esmera hacerla perfecta ello elaboran carne res premi,2021-04-27 23:32:15,es
Noelifarina,aguante encargue hamburguesa ahora falta chocolates helado,2021-04-27 23:32:14,es
horridibujos,mostaza pepinillo cilantro pizza piña sushi brocoli champiñones higado hamburguesa,2021-04-27 23:32:13,es
JulietaDaiana2,segunda vez pido hamburguesa vegetariana contenta tan ricas,2021-04-27 23:32:08,es
SaloLucero,ganas terrible hamburguesa,2021-04-27 23:32:03,es
abrilmoooo,hamburguesa queres,2021-04-27 23:31:55,es
agus94117258,anda comerte hamburguesa pasa,2021-04-27 23:31:51,es
ncghtprblm,agradecio limpiara mejilla argumento mote pitufos tipico pensaria,2021-04-27 23:31:51,es
Gabu08820960,unas ganas mal hamburguesa sapukay,2021-04-27 23:31:40,es
donorgasmos2,mostaza pepinillo cilantro pizza piña sushi brocoli champiñones higado hamburguesa hot dogs,2021-04-27 23:31:31,es
kaaarlaMl,fit quiere ir gym gordo quiere hamburguesa,2021-04-27 23:31:30,es
G25Jane,merezco hamburguesa verdad inner okbio doble papas digalo inner tocineta compra anvorguesa,2021-04-27 23:31:29,es
L1M1H,quiero hamburguesa parrilla piña mucha captsu mayor parte dia fantaseo comida,2021-04-27 23:31:28,es
barbydanu,hoy dias solo quiero llorar solo hamburguesa papas puede salvarme,2021-04-27 23:31:26,es
lixjinhye,teng hambre hamburguesa amigo quiero comer,2021-04-27 23:31:13,es
BeautifulLie_D,mientras hamburguesa mc donalds on fire nunca protagonismo,2021-04-27 23:31:03,es
vantetaek,mar quiero hamburguesa doble pc taekuka gracias,2021-04-27 23:29:40,es
CiudadCanaria,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:29:36,es
Allande_94,pound san pedro culeros todavia audacia cobrar hamburguesa tener terminal,2021-04-27 23:29:27,es
londonvboy,comi hamburguesa papas cayo pesada voy vomitar igual valio pens re rica,2021-04-27 23:29:22,es
eurriolafu,usa marcar comes mostaza pepinillo cilantro pizza piña sushi bro,2021-04-27 23:29:06,es
glowingsei,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:28:50,es
_svalderrama,dios mio ganas hamburguesa papitas,2021-04-27 23:28:19,es
Danasheeran_,acabo comer hamburguesa papitas feliz,2021-04-27 23:27:56,es
meli_daily,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:27:55,es
rebecka3110,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:27:44,es
ontivt,hamburguesa tmb voy ganar acordate,2021-04-27 23:27:31,es
Oskar_Gomez1,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:27:27,es
OscarAutentiko,mk pedi hamburguesa lukas jajajajaja creo,2021-04-27 23:27:22,es
antonferlor,sales bar pides hamburguesa carlos jose casa,2021-04-27 23:27:20,es
Josepolanc__,hambre regala hamburguesa,2021-04-27 23:27:08,es
Smeeeeee02,quiero hamburguesa chocolatito pasar estres ganas morir dios,2021-04-27 23:26:55,es
ohlittleminhee,xenofobia k snlsnslsn hacen ejercitas pc jimin manchada grasa hamburguesa,2021-04-27 23:26:41,es
castr0sa,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-27 23:26:30,es
Aleja__ndra,enviaron combo hamburguesa casita feliz rico hpta,2021-04-27 23:26:27,es
yerikisser,hamburguesa unas papas mierda vais mandar correos quejandoos compañia empleados so,2021-04-27 23:25:43,es
FernandoCastt14,usa marcar comes mostaza pepinillo cilantro pizza piña sushi broc,2021-04-27 23:25:38,es
gcangiano,llamar vacuna argentina sputnik v ensamblada aca llamar hamburguesa argentina vende macdonalds,2021-04-27 23:25:33,es
inmxrtalsxnd,cuantas peliculas tenia biblioteca mano libre estiro cajas ofrecia hamburguesa vaya,2021-04-27 23:25:12,es
giu_concetti,hamburguesa x semana m conformo cerramos,2021-04-27 23:25:11,es
